,City,lat,lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,Ostrovnoy,68.05,39.51,9.12,76,64,2.23,RU,1594695857
282,Umm Kaddadah,13.6,26.69,28.03,56,0,6.51,SD,1594695859
283,Aurillac,44.92,2.45,9.0,87,81,1.5,FR,1594695859
284,Arlit,18.74,7.39,34.0,27,94,3.1,NE,1594695860
285,Buchanan,5.88,-10.05,23.84,90,100,5.28,LR,1594695860
286,Vestmannaeyjar,63.44,-20.27,10.89,88,100,3.67,IS,1594695860
287,Geraldton,-28.77,114.6,18.0,72,90,7.7,AU,1594695860
288,Oyama,36.3,139.8,25.0,94,90,2.1,JP,1594695861
289,Loštice,49.74,16.93,7.78,47,13,1.0,CZ,1594695861
290,Sola,-13.88,167.55,26.74,78,99,8.44,VU,1594695862
291,Rabo de Peixe,37.8,-25.58,19.0,82,20,3.1,PT,1594695862
292,Xichang,27.9,102.26,23.44,69,100,1.79,CN,1594695862
293,Camaná,-16.62,-72.71,16.48,71,0,3.1,PE,1594695796
294,Chadiza,-14.07,32.44,10.77,88,0,0.89,ZM,1594695862
295,Cabo San Lucas,22.89,-109.91,30.56,69,5,3.1,MX,1594695643
296,Cambrils,41.07,1.05,23.33,40,0,5.1,ES,1594695863
297,Havøysund,71.0,24.66,9.0,81,0,3.6,NO,1594695863
298,Necochea,-38.55,-58.74,4.44,79,57,4.47,AR,1594695863
299,Cap Malheureux,-19.98,57.61,20.0,82,0,1.79,MU,1594695864
300,Broome,42.25,-75.83,18.0,77,1,2.6,US,1594695731
301,Ketchikan,55.34,-131.65,16.0,77,90,5.1,US,1594695864
302,Oranjemund,-28.55,16.43,11.67,76,8,3.45,NA,1594695865
303,Saint-Joseph,-21.37,55.62,19.0,68,32,2.6,RE,1594695865
304,Hay River,60.82,-115.8,13.0,93,90,9.8,CA,1594695865
305,Esperance,-33.87,121.9,10.0,93,75,6.2,AU,1594695865
306,Songyuan,45.12,124.86,31.01,40,0,4.01,CN,1594695866
307,Kruisfontein,-34.0,24.73,8.28,78,89,11.09,ZA,1594695866
308,Aitape,-3.14,142.35,29.4,64,92,2.8,PG,1594695866
309,Puksoozero,62.59,40.61,11.31,98,100,2.18,RU,1594695866
310,Pyinmana,19.73,96.22,27.63,82,85,3.78,MM,1594695867
311,Sørland,67.67,12.69,11.6,87,17,4.9,NO,1594695867
312,Gamba,-2.65,10.0,21.46,89,100,1.83,GA,1594695867
313,Borovskoy,53.8,64.15,23.56,61,5,1.54,KZ,1594695868
314,Le Port,-20.94,55.29,21.0,77,5,5.7,RE,1594695651
315,Khudumelapye,-23.88,24.75,5.49,52,0,4.0,BW,1594695868
316,Zhigansk,66.77,123.37,21.77,47,0,2.35,RU,1594695869
317,Isangel,-19.55,169.27,28.0,65,75,3.1,VU,1594695869
318,Vao,-22.67,167.48,22.65,77,100,5.28,NC,1594695727
319,Yabrūd,33.97,36.66,20.0,82,0,5.1,SY,1594695870
320,Elizabeth City,36.29,-76.25,24.0,94,1,1.41,US,1594695870
321,Cartagena,10.4,-75.51,27.08,85,24,5.18,CO,1594695871
322,Tessalit,20.2,1.01,33.1,19,0,5.39,ML,1594695871
323,Codrington,-38.27,141.97,13.29,69,1,3.61,AU,1594695709
324,Batticaloa,7.71,81.69,28.8,69,71,2.77,LK,1594695871
325,Port Augusta,-32.5,137.77,11.67,87,40,2.1,AU,1594695871
326,Hambantota,6.12,81.12,29.0,89,40,4.6,LK,1594695872
327,Sorong,-0.88,131.25,27.42,81,75,2.55,ID,1594695872
328,Beringovskiy,63.05,179.32,11.67,82,76,3.58,RU,1594695872
329,Erenhot,43.65,111.98,26.81,35,0,3.95,CN,1594695873
330,Faya,18.39,42.45,21.0,40,2,2.6,SA,1594695719
331,Atbasar,51.8,68.33,22.7,53,0,2.42,KZ,1594695873
332,Ulladulla,-35.35,150.47,12.0,93,75,7.7,AU,1594695819
333,Saint Anthony,45.02,-93.22,27.0,57,20,6.7,US,1594695606
334,Pallasovka,50.05,46.88,27.24,30,32,5.13,RU,1594695874
335,Piopio,-38.47,175.02,15.56,86,100,1.79,NZ,1594695875
336,Valerik,43.18,45.41,23.0,73,75,2.0,RU,1594695875
337,Kavaratti,10.57,72.64,28.43,77,100,4.07,IN,1594695708
338,Bac Lieu,9.29,105.72,30.17,72,99,4.66,VN,1594695875
339,Sambava,-14.27,50.17,18.97,83,78,3.06,MG,1594695875
340,Laguna,38.42,-121.42,29.0,37,1,4.6,US,1594695876
341,Buala,-8.14,159.59,29.51,65,62,2.61,SB,1594695876
342,George Town,5.41,100.34,29.0,83,40,2.1,MY,1594695876
343,San Cristobal,7.77,-72.22,18.5,86,97,1.91,VE,1594695877
344,Umuarama,-23.77,-53.33,18.81,94,57,3.67,BR,1594695877
345,Omboué,-1.57,9.26,22.12,88,91,3.81,GA,1594695877
346,Quatre Cocos,-20.21,57.76,20.0,88,20,2.6,MU,1594695878
347,Abu Dhabi,24.47,54.37,36.0,39,59,1.5,AE,1594695837
348,North Bend,43.41,-124.22,18.89,82,1,11.3,US,1594695878
349,Berdigestyakh,62.1,126.7,27.03,37,0,3.57,RU,1594695878
350,Porto Walter,-8.27,-72.74,22.0,95,93,0.67,BR,1594695879
351,Bintulu,3.17,113.03,27.0,88,20,1.0,MY,1594695879
352,Ormara,25.21,64.64,29.51,75,78,3.74,PK,1594695879
353,Norman Wells,65.28,-126.83,21.0,49,75,2.1,CA,1594695880
354,Grand Forks,47.93,-97.03,23.0,78,40,3.6,US,1594695718
355,Korla,41.76,86.15,27.84,19,45,3.51,CN,1594695856
356,Cidreira,-30.18,-50.21,10.65,69,0,6.78,BR,1594695880
357,Mana,5.66,-53.78,25.32,85,10,3.12,GF,1594695880
358,Bubaque,11.28,-15.83,26.94,83,100,8.17,GW,1594695881
359,Port Moresby,-9.44,147.18,30.0,74,40,7.7,PG,1594695881
360,Port Macquarie,-31.43,152.92,13.89,93,75,9.3,AU,1594695713
361,Peto,20.13,-88.92,25.77,71,21,1.72,MX,1594695882
362,Vaiano,43.95,11.12,18.0,48,48,2.6,IT,1594695882
363,Grootfontein,-19.57,18.12,4.36,67,0,1.55,NA,1594695882
364,Aklavik,68.22,-135.01,21.0,37,75,3.1,CA,1594695883
365,Diébougou,10.97,-3.25,23.81,89,100,2.74,BF,1594695883
366,Yulara,-25.24,130.99,15.0,33,0,5.1,AU,1594695883
367,Chegdomyn,51.12,133.02,31.35,44,0,1.43,RU,1594695884
368,Bilibino,68.05,166.44,18.94,50,100,3.23,RU,1594695884
369,Marshall,34.38,-86.33,25.0,78,1,1.02,US,1594695884
370,Harper,4.38,-7.72,24.07,83,100,4.59,LR,1594695884
371,Sterling,39.01,-77.43,25.0,78,40,1.82,US,1594695848
372,Březnice,49.56,13.95,10.0,100,92,1.11,CZ,1594695885
373,Raahe,64.68,24.48,10.56,100,100,1.5,FI,1594695885
374,Yuncheng,35.02,110.99,22.62,71,100,1.64,CN,1594695885
375,Wahpeton,46.27,-96.61,24.0,73,1,5.1,US,1594695886
376,Hofn,64.25,-15.21,10.21,84,100,2.63,IS,1594695734
377,Itarema,-2.92,-39.92,23.99,78,25,4.68,BR,1594695886
378,Yefremov,53.15,38.1,15.85,95,100,3.33,RU,1594695886
379,Torres,-29.34,-49.73,10.65,74,0,3.36,BR,1594695887
380,Tommot,58.96,126.29,28.77,55,73,1.02,RU,1594695887
381,Starokozache,46.34,29.99,16.0,59,0,6.0,UA,1594695887
382,Biak,-0.91,122.88,26.96,79,64,1.23,ID,1594695706
383,Ogembo,-0.8,34.73,15.33,85,100,2.48,KE,1594695888
384,Egvekinot,66.32,-179.17,8.53,74,96,1.52,RU,1594695888
385,Asău,46.43,26.4,10.56,86,18,1.61,RO,1594695736
386,Fomboni,-12.28,43.74,25.16,72,100,6.68,KM,1594695889
387,Lampa,-33.28,-70.9,9.0,87,0,1.0,CL,1594695889
388,Payakumbuh,-0.22,100.63,23.82,74,100,0.55,ID,1594695889
389,Haines Junction,60.75,-137.51,15.67,42,100,3.46,CA,1594695839
390,Tuatapere,-46.13,167.68,9.02,75,72,2.84,NZ,1594695890
391,Quelimane,-17.88,36.89,20.0,77,0,1.5,MZ,1594695767
392,Aransas Pass,27.91,-97.15,29.0,89,1,8.2,US,1594695842
393,Baghdad,33.34,44.4,27.0,44,0,3.6,IQ,1594695641
394,Talcahuano,-36.72,-73.12,8.0,87,3,4.1,CL,1594695891
395,Jussara,-23.62,-52.47,19.71,84,44,0.97,BR,1594695891
396,San Vicente,-26.62,-54.13,8.09,88,49,3.02,AR,1594695891
397,Montgomery,39.15,-77.2,26.11,73,90,1.68,US,1594695717
398,Burns Lake,54.23,-125.75,17.06,47,53,2.8,CA,1594695892
399,Djambala,-2.54,14.75,18.18,92,76,1.56,CG,1594695725
400,Thinadhoo,0.53,72.93,29.43,68,4,2.75,MV,1594695892
401,Xining,36.62,101.77,20.8,48,0,0.44,CN,1594695757
402,Jalu,29.03,21.55,23.27,48,0,3.53,LY,1594695893
403,Olafsvik,64.89,-23.71,10.86,82,100,1.4,IS,1594695848
404,Porto-Novo,6.5,2.6,25.0,94,20,5.1,BJ,1594695729
405,Nesna,66.2,13.02,8.89,90,21,1.91,NO,1594695894
406,Amahai,-3.33,128.92,27.78,99,99,4.68,ID,1594695894
407,Bonavista,48.65,-53.11,16.67,72,100,0.89,CA,1594695894
408,Pajapan,18.25,-94.7,24.82,83,0,2.23,MX,1594695895
409,Verkhnevilyuysk,63.45,120.32,28.99,38,7,0.65,RU,1594695895
410,Aleksandrov Gay,50.15,48.57,31.36,25,82,6.71,RU,1594695895
411,Sisimiut,66.94,-53.67,5.8,86,83,4.22,GL,1594695896
412,Neiafu,-18.65,-173.98,25.0,78,75,4.1,TO,1594695896
413,Kovdor,67.57,30.48,10.15,82,99,3.12,RU,1594695896
414,Marrakesh,31.63,-8.01,24.0,64,20,2.6,MA,1594695896
415,Boende,-0.22,20.87,21.52,93,100,0.81,CD,1594695897
416,Chengam,12.3,78.8,28.24,66,100,3.16,IN,1594695897
417,Kaseda-shirakame,31.42,130.32,24.0,78,75,4.6,JP,1594695897
418,Pasān,22.85,82.2,26.71,80,100,1.18,IN,1594695898
419,Ha Tinh,18.33,105.9,34.85,47,0,1.32,VN,1594695898
420,Orlik,52.52,99.83,21.2,56,100,0.67,RU,1594695898
421,kimparana,12.83,-4.92,23.95,85,100,3.58,ML,1594695899
422,Bonthe,7.53,-12.51,24.57,88,100,5.57,SL,1594695899
423,Severo-Kuril'sk,50.68,156.12,10.99,84,94,1.32,RU,1594695858
424,Bellavista,-7.06,-76.59,20.98,95,56,0.57,PE,1594695899
425,Ratnagiri,16.98,73.3,26.59,86,100,2.65,IN,1594695900
426,Zastron,-30.3,27.08,1.23,87,95,7.74,ZA,1594695900
427,Krasnosel'kup,65.7,82.47,10.44,79,95,8.3,RU,1594695900
428,Sarkand,45.41,79.92,22.01,40,0,2.51,KZ,1594695900
429,Manaure,11.78,-72.44,27.76,75,1,6.68,CO,1594695901
430,Taoudenni,22.68,-3.98,35.94,19,26,3.16,ML,1594695901
431,Manzhouli,49.6,117.43,26.15,51,100,3.9,CN,1594695901
432,San Angelo,31.46,-100.44,36.0,19,1,3.6,US,1594695902
433,Laas,46.62,10.7,11.0,100,75,0.38,IT,1594695902
434,Oiba,6.26,-73.3,15.82,93,93,1.11,CO,1594695903
435,Lalibela,12.03,39.03,13.77,85,90,0.94,ET,1594695903
436,Chegutu,-18.13,30.14,8.06,62,0,0.49,ZW,1594695903
437,Zhuanghe,39.7,122.99,25.91,62,98,4.55,CN,1594695903
438,Paraná,-31.73,-60.52,8.33,60,0,0.89,AR,1594695661
439,Puerto Cabezas,14.04,-83.39,25.87,90,72,4.03,NI,1594695612
440,Burgeo,47.62,-57.62,15.54,92,100,1.17,CA,1594695904
441,Fairbanks,64.84,-147.72,19.0,63,75,0.96,US,1594695904
442,Turukhansk,65.82,87.98,12.52,94,99,5.83,RU,1594695905
443,Cabedelo,-6.98,-34.83,23.93,80,10,3.81,BR,1594695905
444,Aswān,24.09,32.91,25.89,23,3,3.45,EG,1594695905
445,Cartagena del Chairá,1.33,-74.84,21.85,97,13,0.94,CO,1594695881
446,Noumea,-22.28,166.46,26.0,54,100,3.1,NC,1594695606
447,Tautira,-17.73,-149.15,24.0,94,75,2.6,PF,1594695906
448,Beltangadi,13.98,75.3,22.92,88,100,3.2,IN,1594695906
449,Conceição da Feira,-12.51,-39.0,18.55,97,24,1.21,BR,1594695907
450,Zeya,53.75,127.27,34.95,30,46,2.74,RU,1594695907
451,Jutaí,-5.18,-68.9,22.44,94,83,0.39,BR,1594695907
452,Whitehorse,60.72,-135.05,18.0,31,75,4.1,CA,1594695907
453,Mpika,-11.83,31.45,9.87,87,3,1.66,ZM,1594695908
454,Hasaki,35.73,140.83,25.0,88,75,3.6,JP,1594695908
455,Vostok,46.49,135.88,21.34,88,71,1.02,RU,1594695908
456,Nador,35.17,-2.93,23.0,88,40,1.05,MA,1594695908
457,Vinukonda,16.05,79.75,27.15,79,100,1.06,IN,1594695909
458,Ilo,-17.64,-71.34,15.3,77,0,2.48,PE,1594695909
459,Kirakira,-10.45,161.92,28.09,78,100,5.77,SB,1594695909
460,Fabriano,43.34,12.91,17.78,74,85,2.24,IT,1594695909
461,Prokop'yevsk,53.91,86.72,19.66,82,55,3.93,RU,1594695910
462,Klaksvík,62.23,-6.59,9.0,100,96,3.6,FO,1594695910
463,Samarai,-10.62,150.67,26.32,86,81,4.46,PG,1594695910
464,Kluang,2.03,103.33,27.0,83,20,2.1,MY,1594695911
465,Mabopane,-25.5,28.1,6.0,52,0,1.5,ZA,1594695911
466,Karachi,24.91,67.08,31.0,70,63,4.1,PK,1594695890
467,Vardø,70.37,31.11,8.0,93,75,4.1,NO,1594695911
468,Gloucester,51.87,-2.24,15.56,96,100,1.84,GB,1594695912
469,Kimbe,-5.55,150.14,29.54,67,72,2.33,PG,1594695912
470,Narsaq,60.92,-46.05,10.0,81,100,3.1,GL,1594695722
471,Bowen,-20.02,148.23,22.22,39,100,3.6,AU,1594695912
472,Roebourne,-20.78,117.13,26.01,24,0,6.14,AU,1594695913
473,Selikhino,50.37,137.5,24.77,58,0,3.37,RU,1594695913
474,Westport,41.14,-73.36,26.0,57,40,4.1,US,1594695719
475,Zhob,31.34,69.45,26.94,49,0,2.57,PK,1594695913
476,Ancud,-41.87,-73.82,3.33,100,100,1.0,CL,1594695914
477,Samfya,-11.36,29.56,12.8,75,3,2.86,ZM,1594695914
478,Kumul,42.8,93.45,27.77,25,46,0.49,CN,1594695914
479,Tamandaré,-8.76,-35.1,23.57,85,20,1.7,BR,1594695914
480,Kolokani,13.57,-8.03,23.71,78,100,4.98,ML,1594695915
481,Luino,46.0,8.75,19.0,82,75,1.0,IT,1594695915
482,Balikpapan,-1.27,116.83,27.69,84,25,1.08,ID,1594695915
483,Colares,38.8,-9.45,23.0,60,0,3.6,PT,1594695915
484,Faratsiho,-19.4,46.95,7.68,87,0,1.82,MG,1594695916
485,Blagoyevo,63.37,47.92,14.11,91,100,3.46,RU,1594695916
486,Klyuchi,52.27,79.17,21.19,62,81,4.43,RU,1594695916
487,Jalalabad,34.43,70.45,30.0,42,40,3.1,AF,1594695917
488,Poli,-3.33,36.8,17.0,93,75,0.68,TZ,1594695917
489,Kalmunai,7.42,81.82,29.03,68,89,3.9,LK,1594695917
490,São João da Barra,-21.64,-41.05,22.02,81,0,2.53,BR,1594695678
491,Awjilah,29.11,21.29,23.37,49,0,3.37,LY,1594695918
492,Auki,-8.77,160.7,29.8,63,100,1.35,SB,1594695918
493,Faanui,-16.48,-151.75,26.24,81,87,6.31,PF,1594695918
494,Yangi Marg`ilon,40.43,71.72,26.0,47,76,1.26,UZ,1594695919
495,Palekh,56.8,41.86,18.32,97,85,0.39,RU,1594695919
496,Halifax,44.65,-63.57,20.0,94,40,1.0,CA,1594695749
497,Hvide Sande,56.0,8.13,13.33,78,100,1.79,DK,1594695919
498,Yurty,56.05,97.63,22.84,63,100,0.99,RU,1594695920
499,Shaoxing,30.01,120.57,27.0,74,75,1.0,CN,1594695920
500,Saint-Augustin,51.23,-58.65,10.79,87,100,7.73,CA,1594695920
501,Aksu,41.12,80.26,25.27,38,100,0.6,CN,1594695920
502,Broken Hill,-31.95,141.43,12.0,66,0,5.7,AU,1594695921
503,Turinsk,58.05,63.7,21.52,62,27,2.6,RU,1594695921
504,Altay,47.87,88.12,19.94,45,64,2.29,CN,1594695921
505,Fuxin,42.02,121.66,31.4,38,100,3.5,CN,1594695921
506,Rundu,-17.93,19.77,6.74,43,0,1.44,NA,1594695865
507,Den Helder,52.96,4.76,16.11,93,90,1.5,NL,1594695922
508,Luganville,-15.53,167.17,27.0,74,75,1.0,VU,1594695665
509,Vinh,18.67,105.67,33.07,54,0,1.57,VN,1594695855
510,Kyra,49.58,111.98,24.34,59,0,1.94,RU,1594695923
511,Qaqortoq,60.72,-46.03,10.0,81,100,3.1,GL,1594695923
512,Chimoré,-16.98,-65.13,22.54,91,98,1.11,BO,1594695923
513,Balkhash,46.84,74.98,22.79,43,0,7.52,KZ,1594695923
514,Tangzhai,34.43,116.59,28.89,71,100,0.56,CN,1594695924
515,Gornyy,55.12,83.91,18.99,81,25,2.41,RU,1594695924
516,Bucerías,20.75,-105.33,30.0,74,75,3.1,MX,1594695924
517,Wukari,7.85,9.78,22.6,94,100,3.72,NG,1594695924
518,Palauig,15.44,119.9,29.58,63,73,1.5,PH,1594695924
519,Baft,29.23,56.61,22.21,36,0,0.63,IR,1594695925
520,Doka,13.52,35.77,22.88,74,91,5.46,SD,1594695925
521,Jardim,-21.48,-56.14,22.45,74,72,0.65,BR,1594695925
522,Maltahöhe,-24.83,16.98,0.94,89,0,0.82,NA,1594695925
523,Mananara,-16.17,49.77,17.59,88,7,1.84,MG,1594695926
524,Poroshkovo,48.67,22.75,5.0,97,0,5.81,UA,1594695926
525,Nicoya,10.15,-85.45,23.9,90,100,0.49,CR,1594695926
526,Cloquet,46.72,-92.46,24.0,57,90,3.6,US,1594695927
527,Kutum,14.2,24.67,24.53,57,12,2.64,SD,1594695716
528,Havre-St-Pierre,50.23,-63.6,13.0,71,90,5.7,CA,1594695928
529,Río Gallegos,-51.62,-69.22,1.0,86,90,5.1,AR,1594695928
530,La Rioja,42.25,-2.5,13.0,82,70,3.6,ES,1594695928
531,Coronel,-37.02,-73.13,8.0,87,0,4.1,CL,1594695928
532,Nosy Varika,-20.58,48.53,18.46,89,9,2.51,MG,1594695929
533,Mwingi,-0.93,38.06,15.45,88,60,1.82,KE,1594695929
534,Husavik,66.04,-17.34,10.0,93,90,1.0,IS,1594695896
535,Batemans Bay,-35.72,150.18,12.78,93,88,2.24,AU,1594695735
536,Francheville,45.74,4.77,17.0,55,29,0.5,FR,1594695930
537,Kefar Tavor,32.69,35.42,24.44,85,24,0.39,IL,1594695930
538,Numata,36.63,139.05,22.78,89,100,0.89,JP,1594695930
539,Naryan-Mar,67.67,53.09,10.0,73,89,2.23,RU,1594695930
540,Kushiro,42.98,144.37,19.0,77,75,2.1,JP,1594695931
541,Paphos,34.77,32.42,21.0,60,0,1.5,CY,1594695931
542,Arman',59.7,150.17,19.77,58,97,3.16,RU,1594695931
543,Maceió,-9.67,-35.74,22.0,94,75,1.5,BR,1594695696
544,San Andrés,12.58,-81.7,26.0,94,40,3.1,CO,1594695932
545,Marsh Harbour,26.54,-77.06,28.74,76,100,4.14,BS,1594695914
546,Chortkiv,49.02,25.8,8.33,93,20,0.45,UA,1594695932
547,Belmonte,-15.86,-38.88,22.0,88,75,1.0,BR,1594695861
548,Huarmey,-10.07,-78.15,16.73,84,0,2.79,PE,1594695933
549,Sittwe,20.15,92.9,26.92,88,100,6.02,MM,1594695861
550,Ginda,30.69,78.49,22.83,72,15,1.01,IN,1594695933
551,Kununurra,-15.77,128.73,23.0,18,0,4.1,AU,1594695934
552,Tazovsky,67.47,78.7,7.53,85,100,8.59,RU,1594695760
553,Garissa,-0.45,39.64,22.95,76,46,5.65,KE,1594695935
554,Dothan,31.22,-85.39,28.0,78,1,3.6,US,1594695667
555,Mayo,38.89,-76.51,27.0,74,90,1.5,US,1594695935
556,Shelburne,44.08,-80.2,18.0,82,20,1.0,CA,1594695935
557,Sailāna,23.47,74.92,27.24,76,100,4.51,IN,1594695936
558,Valentín Gómez Farías,28.22,-106.58,28.5,21,0,3.24,MX,1594695936
559,Celestún,20.87,-90.4,27.91,76,0,6.88,MX,1594695936
560,Catabola,-12.15,17.28,9.07,50,0,1.49,AO,1594695936
561,Grand Gaube,-20.01,57.66,20.0,82,0,1.79,MU,1594695937
562,Alice Springs,-23.7,133.88,14.0,41,0,5.1,AU,1594695937
563,Bay Saint Louis,30.31,-89.33,28.0,83,20,3.54,US,1594695937
